"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
-2.21297453186926,1.20761921002877,3.15875068740311,-3.02031044641912,-2.0445986411126,2.79181454979392,-1.7615778916024,-0.331306185408327,2.84501509715452,-2.9337697984038,1.47695649429189,3.05838053256742,-1.88803979333564,-1.13519917610337,2.36319597771029,-2.02216006864493,0.741981292503308,2.73236791877026,-1.33789620410141,1.02523372037687,2.7974992354358,-2.75883371571683,-1.95938228719034,2.20461782964721,-1.26806201038924,-0.976140802471446,2.26094772264695,-2.89021998885894,1.31361918225872,3.34379137495189,-1.36549914844541,-1.83473631797025,3.20943721645036,-2.03116636666089,-0.0337201690109765,2.73392778523341,-1.95285121082535,1.58117349448955,3.23586569486552,-3.55848777327757
-1.1982515420968,1.12839116040182,2.84418802984721,-2.46854063871878,0.386333599002374,2.52708686960884,-1.96628522233046,-0.381355800365784,2.85191964252415,-0.459883635680952,1.40140723188498,2.95288020580945,-2.6482438788238,-1.06851156364043,2.7074861926942,-1.55085884276171,0.580580559163169,2.66823773404295,-1.34471494468457,2.14737407526547,3.69928048169359,-2.16682177607967,-0.904837563326993,2.11416188757834,-3.39563521215465,-0.405615460834489,2.50739598530375,0.0461801163416274,1.2090394307159,3.61388829739753,-3.51974023344332,0.767969483091689,3.23389457316122,-1.30606854660483,-0.124452179808004,2.3930193663432,-1.23316525174162,1.49494294426545,3.43502913081669,-1.78450196372486
-2.31103634141596,1.10319833658649,3.28641670071407,-2.15056241354679,-1.92354548921132,2.15256848992658,-2.53294273945513,-0.428558241081348,2.79750939251436,-2.4719859753942,1.42448010400574,4.55378244037558,-1.52746201656261,-1.12572188660361,2.68302896523137,-1.82710715013009,0.544442376102779,2.65067616491533,-1.33395283899693,1.99516513254636,4.56081890317558,-2.46986045100624,-1.93928601531577,2.12269649313901,-1.49388273347396,-1.0044497696336,2.73570367283432,-2.96489407221685,1.19870225876254,3.04784074207237,-0.938176389063883,-2.39649637072757,1.58532639571852,-1.91663235389183,-0.185637450365761,3.00815137319264,-1.9295086614969,1.47703459162327,3.44637423860554,-2.6233271812466
-1.73315748009579,1.1756491827286,3.34190712184459,-2.30843681256468,0.527541544894372,2.21822313914114,-1.51939392438977,-0.283407350406229,2.94666968296504,-0.677038444452697,1.48821796536877,4.34469549886299,-2.15140660840306,-0.98920612906753,2.33746657689703,-1.40265625287584,0.670267271789215,2.76232979061459,-1.30231149806031,1.10865282363208,2.54908574261963,-1.72446812811105,-0.837542005201311,2.1840670754234,-1.84136148707157,-0.324864596289844,2.25388268293023,-0.182376639568416,1.30535161916054,3.13939086900465,-3.06774656506102,0.736498856604967,2.60203897031731,-1.28374651687308,-0.0208172657887764,4.1676744916766,-0.862801374757168,1.55020807977262,3.23042721039675,-1.99686250819417
-1.55473810229182,1.14241002247257,3.0552239477442,-2.55627373273121,-2.00247465983325,2.52482818636489,-2.79178315902537,-0.390677490503556,2.74912100885709,-2.3924064259284,1.42329518622051,1.93809181749754,-2.13071070702709,-1.12470748059555,2.7163466510901,-1.82103312265424,0.668140332598997,2.70255173475704,-1.3352122730635,1.85993236491475,3.10110823007466,-2.79725178504755,-1.95436981156631,2.14254071574516,-2.10357941393178,-1.01509170716431,2.43804476774269,-3.09618961049738,1.26254565496637,2.64279700578861,-2.34064833678797,-1.83025893015234,3.16487351946236,-1.96676322277279,-0.101109452316589,3.06826503206707,-1.8533771126957,1.50968964964338,3.43376634007433,-1.62122844089044
-1.51159131681619,1.1698760361367,2.88351839688325,-1.98154928739471,0.434262025391692,2.69901988043196,-1.75556748645027,-0.405518448662575,3.08440472792574,-0.579365857001251,1.44769373862352,2.25765207384466,-1.60631749194755,-1.07807073057978,2.47136797807826,-1.30510568060195,0.637340609007254,2.65894587951885,-1.33561566594465,2.14316927293978,4.54491984619746,-1.95438638097133,-0.908791415167644,2.20806861946301,-1.94126596010353,-0.435304611176725,2.76675948311551,-0.658883612640641,1.26958265745779,2.71267154445101,-2.59172672295869,0.764630736755238,2.35888049545446,-1.28341323576127,-0.141345223862536,1.86459582496785,-1.16627267996211,1.5710672637531,3.46773642199062,-2.82671952579997
-1.85701404162791,1.19436751254727,3.24505752312494,-2.44405476430679,-2.21030570233026,2.2293635784702,-2.00055936891124,-0.409598130349057,2.81274370861715,-2.3496438668571,1.48221575558027,3.49085001607744,-2.06855420816689,-1.12046141891591,2.45364042007198,-2.38441501590113,0.637508697845321,2.73786780658407,-1.34028664968231,1.35524200498655,3.1479759788254,-2.88603548256931,-1.94486807250284,2.21035231392235,-2.12528133012095,-1.00688366864811,2.35603238172272,-2.48412027537701,1.2753462837742,3.17571521419266,-2.23348671862218,-2.41507000716576,2.48623297588291,-2.1212037650802,-0.125089565628031,3.39862654554166,-1.55012798995863,1.5851090131116,3.6272639959792,-1.81454918116076
-2.10476140103016,1.14174017520639,3.53085699395125,-2.5362690714525,0.335414842225115,2.07223956441121,-1.93158011220942,-0.366486530781498,3.48232280789614,-0.750304947334747,1.43144336943541,3.50665546723212,-1.75708392670494,-1.07603507987663,2.5693440973287,-1.50681041026287,0.639530730864473,2.68639374311448,-1.33285595048478,1.62884602363891,2.72580388286378,-1.4350941802029,-0.89659809310953,2.11445403972349,-0.962282046713297,-0.455554416550316,2.31477579974243,-0.569917035789723,1.22366633436962,3.29187531186821,-2.62977514706929,0.658263766201568,2.65206142115899,-1.55209024832583,-0.0892531841218072,3.7414637661165,-0.847425369605739,1.48164092195447,3.96817738990429,-1.73459908145852
-1.72118080725359,1.14665061462134,2.974670168895,-3.60191724074763,-2.07757302415385,2.36720088861351,-1.81991121414588,-0.439627380779554,3.32044249579789,-2.1094589340862,1.41211131116078,2.6775048181372,-2.24800726429498,-1.11541846898823,2.36503958962505,-2.15351577379653,0.648625073296081,2.66055081703353,-1.33947297609925,1.98210171852396,3.30922849863404,-3.15829248554858,-1.89026248143875,2.13143595997448,-1.70671174329892,-0.969178202930543,2.78688540520876,-2.50899105307182,1.2343454154497,2.65372811278981,-2.33413733219647,-1.83173665946078,2.36629422761667,-1.72030036844389,-0.179678967910738,2.37176578128916,-1.87230473885621,1.48416868806036,3.16603654627975,-2.98895631786654
-1.50274096583278,1.2679907887872,2.7793818298242,-1.68206830046199,0.255814356861014,2.54325652127799,-2.53044408177405,-0.306445549724997,2.76786522751958,-1.08441328949448,1.55819918649179,2.32155940596428,-1.82942636809058,-1.03797916194471,2.48553058860134,-2.25589521565511,0.768342439332549,2.77187849363204,-1.30984551594533,1.55652795623105,3.4995127631832,-1.77970714747278,-0.813604822747358,2.28933657803799,-1.99852490284944,-0.424990199027456,2.48218778707488,-1.06781951250241,1.40232036939757,3.87178225079353,-2.13741852958956,0.819644523473001,2.94151723784252,-1.68806115399033,-0.0380209809278665,3.15490711058444,-0.739197349004102,1.66884599750193,3.37353928534901,-1.27989172023748
